Internal - All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Title 2,Title 2 Length,Title 2 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1",Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
https://www.virginholidays.co.uk/travel-extras/airport-lounges/,,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,1,1,0.04,0,0,0,0,,0.018,"Wed, 02 Jan 2019 11:09:14 UTC",https://www.virginholidays.co.uk/travel-extras/airport-lounges,HTTP Redirect,https://www.virginholidays.co.uk/travel-extras/airport-lounges/
https://www.virginholidays.co.uk/special-offers/glasgow-departures,text/html,200,OK,Indexable,,Glasgow departures - deals and special offers | Virgin Holidays,63,501,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,We found you 199 amazing holidays…,34,Glasgow departures special offers,33,DoubleTree by Hilton Resort & Spa Marjan Island,47,,,,,,1545413,9186,3.7412655,4,,1,1,0.04,641,231,26,21,8936c446145b65f184a46fcd6e1c6fd5,1.241,,,,https://www.virginholidays.co.uk/special-offers/glasgow-departures
https://www.virginholidays.co.uk/madikwe/multidestination/4-nights-sun-city---3-nights-madikwe,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,0,0,0,0,0,0,0,,0.127,,,,https://www.virginholidays.co.uk/madikwe/multidestination/4-nights-sun-city---3-nights-madikwe
https://www.virginholidays.co.uk/.resources/virginholidays-web-vhols/versioned/css/virginholidays-web-vhols-3.1.0.min.css,text/css;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,96756,0,0,1,,0,0,0,0,0,0,0,,0.182,"Fri, 14 Dec 2018 11:47:40 CET",,,https://www.virginholidays.co.uk/.resources/virginholidays-web-vhols/versioned/css/virginholidays-web-vhols-3.1.0.min.css
https://www.virginholidays.co.uk/destinations/usa/wild-west/wyoming/comfort-inn-at-buffalo-bill-village-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,1,1,0.04,0,0,0,0,,0.176,,,,https://www.virginholidays.co.uk/destinations/usa/wild-west/wyoming/comfort-inn-at-buffalo-bill-village-holidays
https://www.virginholidays.co.uk/destinations/usa/new-york/brooklyn/sheraton-brooklyn-new-york-browse,text/html; charset=utf-8,429,Too Many Requests,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,275,0,0,4,,2,1,0.04,0,0,0,0,,0.016,,,,https://www.virginholidays.co.uk/destinations/usa/new-york/brooklyn/sheraton-brooklyn-new-york-browse
https://www.virginholidays.co.uk/.imaging/Phone/dam/28960146-6f07-4ebd-afc4-49f9e4a2a011.jpg,image/jpeg;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,2,,0,0,0,0,0,0,0,,0.102,,,,https://www.virginholidays.co.uk/.imaging/Phone/dam/28960146-6f07-4ebd-afc4-49f9e4a2a011.jpg
https://www.virginholidays.co.uk/destinations/usa/los-angeles/santa-monica/viceroy-santa-monica-browse,text/html,200,OK,Indexable,,"Viceroy Santa Monica | Santa Monica, Los Angeles Hotel | Virgin Holidays",72,590,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,Viceroy Santa Monica,20,The hotel,9,Where is it,11,,,,,,344015,1726,3.273113,4,,4,2,0.08,54,37,26,21,d64c4cfad401948ff94263eb3704b014,0.019,,,,https://www.virginholidays.co.uk/destinations/usa/los-angeles/santa-monica/viceroy-santa-monica-browse
https://www.virginholidays.co.uk/destinations/usa/hawaii/oahu-holidays/things-to-do/assets/styles/vhols-theme.css,text/html; charset=utf-8,429,Too Many Requests,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,276,0,0,4,,0,0,0,0,0,0,0,,0.016,,,,https://www.virginholidays.co.uk/destinations/usa/hawaii/oahu-holidays/things-to-do/assets/styles/vhols-theme.css
https://www.virginholidays.co.uk/destinations/canada/vancouver/georgian-court-hotel-browse,text/html,200,OK,Indexable,,"Georgian Court Hotel | Vancouver, Canada Hotel | Virgin Holidays",64,526,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,Georgian Court Hotel,20,The hotel,9,Where is it,11,,,,,,350034,2240,4.0830317,4,,2,1,0.04,52,36,26,21,8cbd39e28eacea4478a04189188e6a35,0.248,,,,https://www.virginholidays.co.uk/destinations/canada/vancouver/georgian-court-hotel-browse
